station id, station name, valid,oblačnost [%]
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-01,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-02,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-03,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-04,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-05,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-06,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-07,37
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-08,77
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-09,90
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-10,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-11,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-12,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-13,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-14,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-15,83
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-16,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-17,90
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-18,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-19,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-20,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-21,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-22,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-23,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-24,60
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-25,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-26,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-27,43
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-28,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-29,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-11-30,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-01,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-02,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-03,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-04,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-05,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-06,83
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-07,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-08,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-09,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-10,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-11,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-12,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-13,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-14,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-15,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-16,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-17,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-18,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-19,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-20,80
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-21,87
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-22,90
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-23,87
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-24,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-25,90
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-26,80
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-27,77
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-28,30
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-29,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-30,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-12-31,73
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-01,50
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-02,67
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-03,77
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-04,97
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-05,90
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-06,77
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-07,90
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-08,77
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-09,100
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-10,53
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-11,90
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-12,63
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-13,93
