station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 15:10,28.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 15:20,28.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 15:30,28.6,0,344
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 15:40,28.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 15:50,28.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 16:00,28.5,0,256
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 16:10,28.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 16:20,28.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 16:30,27.9,0,240
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 16:40,28,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 16:50,27.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 17:00,27.7,0,233
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 17:10,27.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 17:20,27.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 17:30,27,0,199
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 17:40,26.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 17:50,26.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 18:00,25.9,0,70
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 18:10,25.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 18:20,26.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 18:30,25.6,0,29
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 18:40,25,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 18:50,24.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 19:00,25,0,34
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 19:10,24,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 19:20,21.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 19:30,20.8,0,18
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 19:40,20.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 19:50,20.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 20:00,20.5,0,2
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 20:10,20.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 20:20,19.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 20:30,19.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 20:40,19.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 20:50,18.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 21:00,18.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 21:10,18.3,,
