station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 18:20,22.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 18:30,20.4,0,26
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 18:40,19.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 18:50,19,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 19:00,18.3,15,14
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 19:10,18,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 19:20,17.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 19:30,17.7,0,17
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 19:40,17.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 19:50,17.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 20:00,17.5,0,2
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 20:10,17.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 20:20,17.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 20:30,17.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 20:40,17.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 20:50,17.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 21:00,17.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 21:10,17.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 21:20,17.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 21:30,17.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 21:40,17.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 21:50,17.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 22:00,17.2,0.2,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 22:10,17,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 22:20,17.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 22:30,17.2,0.4,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 22:40,17.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 22:50,17.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 23:00,17.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 23:10,17,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 23:20,16.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 23:30,16.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 23:40,16.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 23:50,16.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 00:00,16.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 00:10,16.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 00:20,16.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 00:30,16.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 00:40,16.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 00:50,16.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 01:00,16.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 01:10,16.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 01:20,16.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 01:30,16.4,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 01:40,16.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 01:50,16.2,,
